u,v,key,osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,rfid_c,rfid,avgspeed,time,bridge,EV1_me,EV1_fr,EV2_me,EV2_fr,dam_EV1_al_segments,dam_EV1_al,dam_EV1_MAN_segments,dam_EV1_MAN,dam_EV2_al_segments,dam_EV2_al,dam_EV2_MAN_segments,dam_EV2_MAN,name,junction
42002848,3510081992,0,435722626,True,3,N2,trunk,80,False,226.857,"[1, 1607]",1,80.0,0.003,nan,1.0,1.0,1.0,1.0,"[np.float64(nan), np.float64(1364.0)]",1364.0,"[np.float64(nan), np.float64(1364.0)]",1364.0,"[np.float64(nan), np.float64(1364.0)]",1364.0,"[np.float64(nan), np.float64(1364.0)]",1364.0,nan,nan
42002848,42005643,0,72400805,True,2,N2,trunk,80,False,334.93,"[6, 1608, 1771, 1015, 1016]",4,80.0,0.004,nan,,1.0,,1.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan
42002848,2832217848,0,"[720205318, 284802951]",True,1,A79,motorway_link,80,False,557.7090000000001,"[1697, 1698, 5, 1772, 1709, 1710, 1900, 1621, 1368, 1370, 1695]",99,80.0,0.007,nan,2.8376068376068377,1.0,3.5080645161290325,1.0,"[np.float64(12036.0), np.float64(20605.0), np.float64(5947.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(5930.0), np.float64(nan), np.float64(4400.0), np.float64(9900.0)]",58818.0,"[np.float64(12036.0), np.float64(20605.0), np.float64(5947.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(5930.0), np.float64(nan), np.float64(4400.0), np.float64(9900.0)]",58818.0,"[np.float64(14505.0), np.float64(23181.0), np.float64(6938.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(8515.0), np.float64(nan), np.float64(7239.0), np.float64(13860.0)]",74238.0,"[np.float64(14505.0), np.float64(23181.0), np.float64(6938.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(8515.0), np.float64(nan), np.float64(7239.0), np.float64(13860.0)]",74238.0,nan,nan
42003549,1912827603,0,"[382923864, 215573156]",True,"['3', '2']",A79,motorway,100,False,429.50999999999993,"[1600, 1601, 2, 1732, 933, 1832, 1290, 1739, 1292, 1738, 1295, 1296, 1359, 1754, 1756]",2,100.0,0.004,nan,4.592039800995025,1.0,4.892018779342723,1.0,"[np.float64(13464.0), np.float64(15332.0), np.float64(nan), np.float64(8167.0), np.float64(10481.0), np.float64(8444.0), np.float64(15274.0), np.float64(15411.0), np.float64(48719.0), np.float64(5755.0), np.float64(16808.0), np.float64(24904.0), np.float64(9001.0), np.float64(nan), np.float64(nan)]",191760.0,"[np.float64(13464.0), np.float64(15332.0), np.float64(nan), np.float64(8167.0), np.float64(10481.0), np.float64(8444.0), np.float64(15274.0), np.float64(15411.0), np.float64(48719.0), np.float64(5755.0), np.float64(16808.0), np.float64(24904.0), np.float64(9001.0), np.float64(nan), np.float64(nan)]",191760.0,"[np.float64(13464.0), np.float64(15332.0), np.float64(nan), np.float64(10209.0), np.float64(10500.0), np.float64(9703.0), np.float64(15174.0), np.float64(19263.0), np.float64(49064.0), np.float64(9043.0), np.float64(16808.0), np.float64(25816.0), np.float64(15002.0), np.float64(nan), np.float64(nan)]",209378.0,"[np.float64(13464.0), np.float64(15332.0), np.float64(nan), np.float64(10209.0), np.float64(10500.0), np.float64(9703.0), np.float64(15174.0), np.float64(19263.0), np.float64(49064.0), np.float64(9043.0), np.float64(16808.0), np.float64(25816.0), np.float64(15002.0), np.float64(nan), np.float64(nan)]",209378.0,nan,nan
42003549,2119022099,0,"[337060729, 254696086, 7125689, 7125692, 1093098142]",True,2,A2,motorway,100,False,603.4239999999999,"[3, 4, 7, 9, 10, 12, 20, 1558, 1560, 1821, 1822, 934, 1322, 1581, 1352, 1747, 1751, 1758, 1761, 1514, 1007, 1008, 1272]",3,100.0,0.006,"['yes', 'viaduct']",4.51,1.0,4.539823008849558,1.0,"[np.float64(nan), np.float64(nan), np.float64(12109.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(2392.0), np.float64(5878.0), np.float64(nan), np.float64(nan), np.float64(8452.0), np.float64(nan), np.float64(8226.0), np.float64(nan), np.float64(nan), np.float64(7827.0), np.float64(11214.0), np.float64(nan), np.float64(15968.0), np.float64(nan), np.float64(12425.0), np.float64(nan)]",84491.0,"[np.float64(nan), np.float64(nan), np.float64(12109.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(2392.0), np.float64(5878.0), np.float64(nan), np.float64(nan), np.float64(8452.0), np.float64(nan), np.float64(8226.0), np.float64(nan), np.float64(nan), np.float64(7827.0), np.float64(11214.0), np.float64(nan), np.float64(15968.0), np.float64(nan), np.float64(12425.0), np.float64(nan)]",84491.0,"[np.float64(nan), np.float64(nan), np.float64(12109.0), np.float64(7222.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(3402.0), np.float64(8565.0), np.float64(nan), np.float64(nan), np.float64(8452.0), np.float64(nan), np.float64(9287.0), np.float64(nan), np.float64(12102.0), np.float64(8453.0), np.float64(11214.0), np.float64(nan), np.float64(15968.0), np.float64(nan), np.float64(12425.0), np.float64(nan)]",109199.0,"[np.float64(nan), np.float64(nan), np.float64(12109.0), np.float64(7222.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(3402.0), np.float64(8565.0), np.float64(nan), np.float64(nan), np.float64(8452.0), np.float64(nan), np.float64(9287.0), np.float64(nan), np.float64(12102.0), np.float64(8453.0), np.float64(11214.0), np.float64(nan), np.float64(15968.0), np.float64(nan), np.float64(12425.0), np.float64(nan)]",109199.0,nan,nan
42003549,5284280680,0,425176802,True,4,A2,motorway,100,False,446.129,"[1488, 1752, 1755, 1757, 1759]",111,100.0,0.004,nan,3.2711864406779663,1.0,4.246666666666667,1.0,"[np.float64(18957.0), np.float64(55092.0), np.float64(25273.0), np.float64(23263.0), np.float64(52919.0)]",175504.0,"[np.float64(18957.0), np.float64(55092.0), np.float64(25273.0), np.float64(23263.0), np.float64(52919.0)]",175504.0,"[np.float64(37141.0), np.float64(56117.0), np.float64(37301.0), np.float64(49848.0), np.float64(57329.0)]",237736.0,"[np.float64(37141.0), np.float64(56117.0), np.float64(37301.0), np.float64(49848.0), np.float64(57329.0)]",237736.0,nan,nan
42005643,2178785463,0,294242089,True,1,N2,trunk_link,80,False,416.235,"[1288, 905, 8, 1880, 1781, 1879, 1304]",93,80.0,0.005,nan,,1.0,,1.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,"[np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(nan)]",0.0,nan,nan
42005643,2587147871,0,"[337060740, 337060741, 462397446]",True,1,N2,trunk,"['100', '80']",False,463.95500000000004,"[1602, 1347, 1604, 1603, 1515, 1420, 1421, 1521, 1778, 1779, 1780, 1366, 1531]",97,90.0,0.005,viaduct,3.5390070921985815,1.0,4.6938775510204085,1.0,"[np.float64(412.0), np.float64(nan), np.float64(nan), np.float64(1568.0), np.float64(1702.0), np.float64(1721.0), np.float64(1656.0), np.float64(nan), np.float64(nan), np.float64(880.0), np.float64(746.0), np.float64(519.0), np.float64(nan)]",9204.0,"[np.float64(412.0), np.float64(nan), np.float64(nan), np.float64(1568.0), np.float64(1702.0), np.float64(1721.0), np.float64(1656.0), np.float64(nan), np.float64(nan), np.float64(880.0), np.float64(746.0), np.float64(519.0), np.float64(nan)]",9204.0,"[np.float64(721.0), np.float64(nan), np.float64(1374.0), np.float64(2383.0), np.float64(1917.0), np.float64(1986.0), np.float64(2050.0), np.float64(nan), np.float64(nan), np.float64(1124.0), np.float64(746.0), np.float64(1263.0), np.float64(nan)]",13564.0,"[np.float64(721.0), np.float64(nan), np.float64(1374.0), np.float64(2383.0), np.float64(1917.0), np.float64(1986.0), np.float64(2050.0), np.float64(nan), np.float64(nan), np.float64(1124.0), np.float64(746.0), np.float64(1263.0), np.float64(nan)]",13564.0,nan,nan
42009257,42010565,0,"[6779692, 587459364, 6779686, 6779687]",True,"['3', '2']",nan,primary,50,False,90.18,"[1568, 1773, 14, 2128, 17, 24]",5,50.0,0.002,yes,3.5833333333333335,1.0,3.923076923076923,1.0,"[np.float64(nan), np.float64(77.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(83.0)]",160.0,"[np.float64(nan), np.float64(77.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(83.0)]",160.0,"[np.float64(nan), np.float64(91.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(83.0)]",174.0,"[np.float64(nan), np.float64(91.0), np.float64(nan), np.float64(nan), np.float64(nan), np.float64(83.0)]",174.0,Nieuwe Limmelderweg,nan
42009257,42012660,0,"[6779728, 1094522126]",True,1,A79,motorway_link,100,False,389.17900000000003,"[1504, 34, 2663, 2414, 15, 1232, 2417, 2418, 19, 2419, 2415, 22, 2416, 25, 1563, 30]",6,100.0,0.004,nan,2.1538461538461537,1.0,3.95,1.0,"[np.float64(8656.0), np.float64(6712.0), np.float64(nan), np.float64(14071.0), np.float64(nan), np.float64(nan), np.float64(2711.0), np.float64(3682.0), np.float64(nan), np.float64(6270.0), np.float64(3870.0), np.float64(3197.0), np.float64(4316.0), np.float64(nan), np.float64(nan), np.float64(5990.0)]",59475.0,"[np.float64(8656.0), np.float64(6712.0), np.float64(nan), np.float64(14071.0), np.float64(nan), np.float64(nan), np.float64(2711.0), np.float64(3682.0), np.float64(nan), np.float64(6270.0), np.float64(3870.0), np.float64(3197.0), np.float64(4316.0), np.float64(nan), np.float64(nan), np.float64(5990.0)]",59475.0,"[np.float64(22412.0), np.float64(16109.0), np.float64(nan), np.float64(23451.0), np.float64(nan), np.float64(nan), np.float64(2711.0), np.float64(3682.0), np.float64(nan), np.float64(4702.0), np.float64(4073.0), np.float64(3197.0), np.float64(5899.0), np.float64(2682.0), np.float64(nan), np.float64(5990.0)]",94908.0,"[np.float64(22412.0), np.float64(16109.0), np.float64(nan), np.float64(23451.0), np.float64(nan), np.float64(nan), np.float64(2711.0), np.float64(3682.0), np.float64(nan), np.float64(4702.0), np.float64(4073.0), np.float64(3197.0), np.float64(5899.0), np.float64(2682.0), np.float64(nan), np.float64(5990.0)]",94908.0,nan,nan
